ID,Expert Name,Areas of Expertise,Other Expertise (Specify),Galen Experience Level,Chunk ID,Preference Score,Preferred Source,Left Translation,Right Translation,Time Spent (s),Comment,Completed At
2269ceda72ff66aa,Expert_06,Other,,2,7,1,claude,human1,claude,26,,2026-01-10T08:47:49.645Z
d68016b7854189f9,Expert_06,Other,,2,3,1,gemini,human2,gemini,33,,2026-01-10T08:47:49.645Z
4f409e7f2fe9f32b,Expert_07,Greek Medicine,,5,4,-1,human2,human2,claude,49,,2026-01-17T13:19:31.969Z
b9443be855af0f4c,Expert_07,Greek Medicine,,5,6,-1,openai,openai,human2,14,,2026-01-17T13:19:31.969Z
a4e5259ef77b6500,Expert_07,Greek Medicine,,5,5,1,gemini,human2,gemini,9,,2026-01-17T13:19:31.969Z
cc98d08381cabfc8,Expert_07,Greek Medicine,,5,3,-1,claude,claude,human1,20,,2026-01-17T13:19:31.969Z
b6f06a732fcdf350,Expert_07,Greek Medicine,,5,1,-1,openai,openai,human2,11,,2026-01-17T13:19:31.969Z
acd9caaf8d13778f,Expert_07,Greek Medicine,,5,7,1,gemini,human2,gemini,15,,2026-01-17T13:19:31.969Z
5ad760cd2b8f873a,Expert_07,Greek Medicine,,5,8,1,claude,human1,claude,15,,2026-01-17T13:19:31.969Z
4da9cd8fcbd04dbc,Expert_07,Greek Medicine,,5,10,1,human1,openai,human1,11,,2026-01-17T13:19:31.969Z
7c9a2dd0913edc68,Expert_07,Greek Medicine,,5,9,1,gemini,human2,gemini,16,,2026-01-17T13:19:31.969Z
efef8c6db4fa60cc,Expert_07,Greek Medicine,,5,2,1,claude,human1,claude,19,,2026-01-17T13:19:31.969Z
a315f63ce3be3187,Expert_16,Galen,,7,1,-1,claude,claude,human1,849,"A is more accurate than B (e.g. compounded instead of mixed for κέκραται; the ancients instead of ancient men): I’d say somewhere between somewhat better and much better. 
A provides an interpretation of the text, B confines itself to a literal translation, which sometimes is not entirely clear.
τὰ εἰκότα is rendered as “the probabilities” by A, whereas it is translated (perhaps too) literally in B (“what is fitting”). 
B’s “they say one must understand this to mean those things that are so in the extreme” is not entirely clear to me (better A: “they say it is necessary to understand such things completely”).
B’s “And likewise, neither cold nor dry in the ultimate degree” has no verb like Tacitus.",2026-01-22T12:20:26.163Z
80e38fd0cb94ee1e,Expert_16,Galen,,7,9,0,neutral,gemini,human1,374,,2026-01-22T12:20:26.163Z
dbfadd7b4bc559c1,Expert_16,Galen,,7,5,0,neutral,openai,human2,2,,2026-01-22T12:20:26.163Z
896714783fa8d8e3,Expert_16,Galen,,7,8,-1,claude,claude,human2,12364,"Passage A is, in my view, only slightly better than Passage B. I prefer 'moist' to wet; I think that the bit ""they have been deceived: they presume"" of Passage B is rendered better in Passage A (although perhpas the lack of context is misleading me); I can't decide between 'shell' and 'ceramic pot' to translate ὀστράκῳ in the final lines (both seem equally good, I should make some research into this analogy in Galen and other writers). Both passages represent very good translations.",2026-01-22T12:20:26.163Z
f3a1d4c40173e720,Expert_16,Galen,,7,3,1,human2,gemini,human2,24,"Although B has a mistake (haplos translated as ""simple"" [substance]; A has the correct translation, ""in an absolute sense""), I think that B is more elegant whereas A is sometimess too literal and even slightly inelegant (i.e. ""the precisely equal coming together of the opposites"").",2026-01-22T12:20:26.163Z
7685a493424d3e53,Expert_16,Galen,,7,10,1,human1,openai,human1,3316,,2026-01-22T12:20:26.163Z
bcab0cf0a2b178f6,Expert_16,Galen,,7,7,0,neutral,human2,claude,13411,"Translation A is quite literal and correct; same for translation B. I would say that they are equivalent (both are very good).

Tr. A: “due to dryness...” perhaps not very elegant. 

Tr. A: “immediately” for ἐυθὺς: better “automatically” of B.

Τοῦ κατ’αὐτὰ τένοντος: I can’t decide between A and B, as the question should be analysed from a medical/scientific point of view. Both “beneath” and “in” seem grammatically possible, although “beneath” is perhaps more adequate.",2026-01-22T12:20:26.163Z
25a1f53e714e1511,Expert_16,Galen,,7,6,0,neutral,human1,gemini,7136,"B: “already” for hede is not very correct (at the beginning: cf. A “certainly”, not very correct but better than B); but after a few lines, B translates hede more correctly (“at any rate”). 
B seems more correct in this case: “Cartilages come next after the ligaments and constitute a substance intermediate between the two; some anatomists call this a tendino-cartilaginous ligament”. A translates perhaps literally (“Cartilage comes after ligament; and there is a kind of body which is midway between the two”) but also somehow vaguely.
B translates hoion as “as it were”, which is not entirely clear to me; A has “a kind of” which looks better.
A translates diorisamenos as “make the distinction”: conceptually correct (Galen insisted on diorismoi), but B’s “by determining” is more natural and definitely not incorrect.
",2026-01-22T12:20:26.163Z
65af0156d1b1e8a1,Expert_16,Galen,,7,4,0,neutral,human2,openai,5231,Both translations seem correct and accurate. No substantial difference is found.,2026-01-22T12:20:26.163Z
